iter	Passed	Remaining
0	16	1591
1	31	1536
2	46	1500
3	62	1490
4	79	1508
5	95	1494
6	110	1471
7	127	1463
8	142	1436
9	158	1424
10	201	1630
11	216	1590
12	233	1559
13	249	1530
14	268	1522
15	285	1497
16	300	1466
17	317	1447
18	334	1426
19	350	1401
20	366	1378
21	382	1354
22	397	1330
23	413	1308
24	429	1289
25	444	1266
26	461	1248
27	478	1229
28	494	1209
29	510	1190
30	525	1169
31	541	1150
32	556	1129
33	572	1110
34	588	1092
35	603	1073
36	620	1056
37	635	1037
38	650	1017
39	666	999
40	681	981
41	698	964
42	713	946
43	729	928
44	745	910
45	760	893
46	776	876
47	791	857
48	807	840
49	822	822
50	836	803
51	851	785
52	867	768
53	882	751
54	896	733
55	912	716
56	927	699
57	942	682
58	959	666
59	975	650
60	989	632
61	1004	615
62	1023	601
63	1039	584
64	1055	568
65	1074	553
66	1089	536
67	1105	520
68	1118	502
69	1134	486
70	1150	469
71	1165	453
72	1180	436
73	1245	437
74	1261	420
75	1278	403
76	1293	386
77	1308	368
78	1322	351
79	1338	334
80	1353	317
81	1368	300
82	1385	283
83	1400	266
84	1415	249
85	1430	232
86	1445	216
87	1461	199
88	1477	182
89	1497	166
90	1514	149
91	1530	133
92	1545	116
93	1560	99
94	1575	82
95	1592	66
96	1608	49
97	1624	33
98	1639	16
99	1655	0
